 year_start:        1998 ,year_end:        1999
 day_start:           1 , day_end:         730
 cdoms,Kds,pars,mxls, dmxldt_day
  0.6048E+01,  0.6279E-01,  0.1994E+02,  0.2207E+02,  0.1754E+01
  0.6725E+01,  0.6380E-01,  0.2799E+02,  0.2383E+02,  0.6843E+00
  0.6037E+01,  0.6687E-01,  0.2583E+02,  0.2451E+02,  0.0000E+00
  0.5348E+01,  0.6993E-01,  0.2368E+02,  0.2448E+02,  0.0000E+00
  0.4659E+01,  0.7300E-01,  0.2206E+02,  0.2381E+02,  0.0000E+00
  0.3970E+01,  0.7607E-01,  0.2044E+02,  0.2303E+02,  0.1109E+01
  0.3281E+01,  0.7913E-01,  0.1868E+02,  0.2414E+02,  0.1062E+01
  0.2592E+01,  0.8220E-01,  0.2954E+02,  0.2520E+02,  0.1021E+01
  0.2657E+01,  0.7892E-01,  0.2984E+02,  0.2623E+02,  0.8892E+00
  0.2721E+01,  0.7564E-01,  0.2257E+02,  0.2711E+02,  0.7759E+00
  0.2786E+01,  0.7236E-01,  0.2837E+02,  0.2789E+02,  0.3267E+00
  0.2850E+01,  0.6908E-01,  0.2960E+02,  0.2822E+02,  0.0000E+00
  0.2915E+01,  0.6580E-01,  0.3083E+02,  0.2781E+02,  0.0000E+00
  0.2979E+01,  0.6252E-01,  0.2000E+02,  0.2740E+02,  0.9324E-01
  0.3044E+01,  0.5924E-01,  0.9169E+01,  0.2749E+02,  0.2768E+00
  0.3108E+01,  0.5596E-01,  0.2016E+02,  0.2777E+02,  0.5496E+00
  0.3173E+01,  0.5268E-01,  0.3115E+02,  0.2832E+02,  0.1872E+00
  0.3237E+01,  0.4940E-01,  0.3214E+02,  0.2851E+02,  0.0000E+00
  0.3302E+01,  0.4904E-01,  0.2524E+02,  0.2849E+02,  0.3981E+00
  0.3366E+01,  0.4869E-01,  0.3292E+02,  0.2888E+02,  0.4675E+00
  0.3431E+01,  0.4833E-01,  0.2733E+02,  0.2935E+02,  0.3816E+00
  0.3495E+01,  0.4798E-01,  0.2175E+02,  0.2973E+02,  0.4767E+00
  0.3560E+01,  0.4762E-01,  0.2412E+02,  0.3021E+02,  0.0000E+00
  0.3624E+01,  0.4727E-01,  0.2650E+02,  0.2999E+02,  0.0000E+00
  0.3689E+01,  0.4691E-01,  0.2636E+02,  0.2902E+02,  0.0000E+00
  0.3753E+01,  0.4656E-01,  0.2622E+02,  0.2839E+02,  0.0000E+00
  0.3818E+01,  0.4620E-01,  0.3513E+02,  0.2772E+02,  0.0000E+00
  0.4155E+01,  0.4960E-01,  0.2444E+02,  0.2767E+02,  0.2223E+00
  0.4492E+01,  0.5300E-01,  0.2022E+02,  0.2789E+02,  0.1975E-01
  0.4830E+01,  0.5640E-01,  0.3622E+02,  0.2791E+02,  0.0000E+00
  0.5167E+01,  0.5250E-01,  0.3653E+02,  0.2789E+02,  0.7550E-01
  0.5021E+01,  0.5504E-01,  0.3015E+02,  0.2797E+02,  0.0000E+00
  0.4874E+01,  0.5757E-01,  0.2377E+02,  0.2782E+02,  0.0000E+00
  0.4728E+01,  0.6011E-01,  0.3022E+02,  0.2768E+02,  0.0000E+00
  0.4582E+01,  0.6265E-01,  0.3667E+02,  0.2747E+02,  0.3324E-01
  0.4435E+01,  0.6518E-01,  0.3770E+02,  0.2750E+02,  0.5782E+00
  0.4289E+01,  0.6772E-01,  0.3873E+02,  0.2808E+02,  0.2962E+01
  0.4142E+01,  0.7026E-01,  0.3932E+02,  0.3104E+02,  0.1869E+01
  0.3996E+01,  0.7279E-01,  0.1683E+02,  0.3291E+02,  0.0000E+00
  0.3850E+01,  0.7533E-01,  0.3972E+02,  0.3254E+02,  0.2398E+00
  0.5043E+01,  0.7400E-01,  0.3968E+02,  0.3278E+02,  0.0000E+00
  0.6237E+01,  0.6680E-01,  0.4005E+02,  0.3258E+02,  0.0000E+00
  0.7481E+01,  0.5914E-01,  0.4045E+02,  0.3161E+02,  0.0000E+00
  0.8726E+01,  0.5148E-01,  0.4085E+02,  0.3155E+02,  0.5794E+00
  0.8106E+01,  0.4681E-01,  0.4119E+02,  0.3213E+02,  0.1137E-02
  0.7487E+01,  0.4213E-01,  0.4153E+02,  0.3213E+02,  0.3842E+00
  0.7291E+01,  0.4455E-01,  0.4080E+02,  0.3251E+02,  0.7922E-01
  0.7096E+01,  0.4698E-01,  0.4006E+02,  0.3259E+02,  0.0000E+00
  0.6900E+01,  0.4940E-01,  0.4274E+02,  0.3253E+02,  0.1496E+00
  0.6704E+01,  0.5215E-01,  0.4290E+02,  0.3268E+02,  0.6677E+00
  0.6509E+01,  0.5490E-01,  0.4346E+02,  0.3335E+02,  0.1224E+01
  0.6313E+01,  0.5462E-01,  0.4238E+02,  0.3457E+02,  0.8406E+00
  0.6328E+01,  0.5434E-01,  0.4405E+02,  0.3541E+02,  0.1023E+01
  0.6343E+01,  0.5406E-01,  0.4447E+02,  0.3644E+02,  0.1204E+01
  0.6358E+01,  0.5378E-01,  0.4490E+02,  0.3764E+02,  0.1151E+01
  0.6373E+01,  0.5351E-01,  0.3332E+02,  0.3879E+02,  0.9408E+00
  0.6389E+01,  0.5323E-01,  0.2174E+02,  0.3973E+02,  0.0000E+00
  0.6404E+01,  0.5295E-01,  0.4625E+02,  0.3948E+02,  0.0000E+00
  0.6419E+01,  0.5267E-01,  0.4655E+02,  0.3917E+02,  0.0000E+00
  0.6200E+01,  0.5378E-01,  0.4516E+02,  0.3881E+02,  0.8139E+00
  0.5981E+01,  0.5490E-01,  0.4729E+02,  0.3962E+02,  0.1036E+01
  0.5763E+01,  0.5601E-01,  0.4614E+02,  0.4066E+02,  0.1093E+01
  0.5544E+01,  0.5712E-01,  0.4105E+02,  0.4175E+02,  0.2847E+00
