time    Pop1        Pop2
18.40278 0.73070E+02 0.15067E+01
18.47222 0.74970E+02 0.15214E+01
18.54167 0.76918E+02 0.15383E+01
18.61111 0.78915E+02 0.15576E+01
18.68056 0.80961E+02 0.15793E+01
18.75000 0.83058E+02 0.16036E+01
18.81944 0.85206E+02 0.16307E+01
18.88889 0.87406E+02 0.16608E+01
18.95833 0.89658E+02 0.16940E+01
19.02778 0.91965E+02 0.17306E+01
19.09722 0.94326E+02 0.17709E+01
19.16667 0.96741E+02 0.18152E+01
19.23611 0.99213E+02 0.18637E+01
19.30556 0.10174E+03 0.19168E+01
19.37500 0.10432E+03 0.19749E+01
19.44444 0.10696E+03 0.20385E+01
19.51389 0.10966E+03 0.21081E+01
19.58333 0.11241E+03 0.21841E+01
19.65278 0.11522E+03 0.22673E+01
19.72222 0.11809E+03 0.23583E+01
19.79167 0.12101E+03 0.24578E+01
19.86111 0.12399E+03 0.25668E+01
19.93056 0.12701E+03 0.26863E+01
20.00000 0.13009E+03 0.28172E+01
20.06944 0.13322E+03 0.29610E+01
20.13889 0.13640E+03 0.31188E+01
20.20833 0.13962E+03 0.32924E+01
20.27778 0.14288E+03 0.34835E+01
20.34722 0.14617E+03 0.36941E+01
20.41667 0.14949E+03 0.39265E+01
20.48611 0.15284E+03 0.41831E+01
20.55556 0.15621E+03 0.44669E+01
20.62500 0.15958E+03 0.47811E+01
20.69444 0.16295E+03 0.51294E+01
20.76389 0.16631E+03 0.55160E+01
20.83333 0.16964E+03 0.59455E+01
